2020-03-26 03:07:32.816 GMT [12464] ���������:  ������� �� ���� ���������: 2020-03-25 12:30:59 GMT
2020-03-26 04:09:39.556 GMT [5060] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:09:39.556 GMT [5060] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:09:39.556 GMT [5060] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 04:09:46.123 GMT [15148] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:09:46.123 GMT [15148] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:09:46.123 GMT [15148] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 04:09:46.353 GMT [12744] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:09:46.353 GMT [12744] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:09:46.353 GMT [12744] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 04:10:23.660 GMT [1728] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.660 GMT [9648] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.660 GMT [10344] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.660 GMT [8688] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.660 GMT [12744] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.660 GMT [15148] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.660 GMT [8956] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.661 GMT [6416] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.661 GMT [16116] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.661 GMT [3316] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.661 GMT [6448] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.661 GMT [12644] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.662 GMT [5060] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.661 GMT [15668] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:10:23.662 GMT [12824] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 04:16:00.948 GMT [6840] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:16:00.948 GMT [6840] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:16:00.948 GMT [6840] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 04:39:29.847 GMT [12356] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:39:29.847 GMT [12356] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:39:29.847 GMT [12356] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 04:39:30.623 GMT [14028] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:39:30.623 GMT [14028] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:39:30.623 GMT [14028] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 04:39:31.297 GMT [7152] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 04:39:31.297 GMT [7152] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 04:39:31.297 GMT [7152] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 05:06:37.460 GMT [6840] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:06:37.460 GMT [7152] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:06:37.460 GMT [12356] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:06:37.460 GMT [14028] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:06:37.463 GMT [16088] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:08:27.486 GMT [4008] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:09:37.520 GMT [7188] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:09:37.520 GMT [7188] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:10:02.543 GMT [14104] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:10:02.543 GMT [13936] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:10:17.504 GMT [8316] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:14:41.937 GMT [9652] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:15:37.545 GMT [1812] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:15:37.545 GMT [14988] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:15:37.545 GMT [7664] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:15:37.545 GMT [928] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:15:37.545 GMT [1812] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:15:37.545 GMT [14988] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:15:37.545 GMT [7664] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:15:37.545 GMT [928] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:17:06.663 GMT [15324] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:18:00.736 GMT [4772] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:27:14.633 GMT [1928] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:27:14.634 GMT [1928] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:33:14.721 GMT [1564] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:33:14.721 GMT [14772] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:33:14.721 GMT [14772] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:36:04.823 GMT [14204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:38:31.142 GMT [15824] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:41:11.298 GMT [12704] ОШИБКА:  INSERT или UPDATE в таблице "user_answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey"
2020-03-26 05:41:11.298 GMT [12704] ПОДРОБНОСТИ:  Ключ (answer_id)=(0) отсутствует в таблице "answers".
2020-03-26 05:41:11.298 GMT [12704] ОПЕРАТОР:  INSERT INTO public.user_answers (user_id, answer_id) VALUES (2, 0) RETURNING public.user_answers.id
2020-03-26 05:41:59.522 GMT [12704] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:41:59.524 GMT [1184] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:43:13.641 GMT [10812] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:44:05.700 GMT [10080] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:44:05.700 GMT [10080] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:46:48.042 GMT [9836] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:46:48.042 GMT [9836] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:48:00.162 GMT [6876] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:48:00.162 GMT [5064] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:48:00.162 GMT [5064] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:48:00.163 GMT [3008] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:48:00.163 GMT [3008] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:48:31.687 GMT [14508] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:48:31.687 GMT [14508] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 05:49:09.190 GMT [6376] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:55:48.300 GMT [7540] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:55:52.702 GMT [6760] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "interpretation_group_thinks_pkey"
2020-03-26 05:55:52.702 GMT [6760] ПОДРОБНОСТИ:  Ключ "(id)=(4)" уже существует.
2020-03-26 05:55:52.702 GMT [6760] ОПЕРАТОР:  INSERT INTO public.interpretation_group_thinks (interpretation_group_id, min_interpretation_group_value, max_interpretation_group_value, value) VALUES (1, 0, 3, NULL) RETURNING public.interpretation_group_thinks.id
2020-03-26 05:57:05.374 GMT [6760] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 05:57:05.376 GMT [14556] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:01:20.609 GMT [12828] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:07:53.297 GMT [5368] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:11:52.245 GMT [1064] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:13:00.593 GMT [15968] ОШИБКА:  столбец "test_id" в таблице "interpretation_groups" не существует (символ 43)
2020-03-26 06:13:00.593 GMT [15968] ОПЕРАТОР:  INSERT INTO public.interpretation_groups (test_id, value) VALUES (NULL, 'Человек-человек') RETURNING public.interpretation_groups.id
2020-03-26 06:13:31.033 GMT [15968] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:13:31.035 GMT [6168] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:19:39.392 GMT [3804] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:22:55.055 GMT [11744] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:32:43.818 GMT [8744] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:34:28.134 GMT [7540] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:34:28.134 GMT [7540] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 06:36:02.707 GMT [4316] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:36:02.707 GMT [9820] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:36:02.707 GMT [4316] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 06:36:02.707 GMT [9820] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 06:36:14.690 GMT [15392] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:36:14.690 GMT [15392] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-26 06:37:25.425 GMT [13472] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:37:29.675 GMT [260] ОШИБКА:  нулевое значение в столбце "value" нарушает ограничение NOT NULL
2020-03-26 06:37:29.675 GMT [260] ПОДРОБНОСТИ:  Ошибочная строка содержит (4, 21, 336, null).
2020-03-26 06:37:29.675 GMT [260] ОПЕРАТОР:  INSERT INTO public.answers_in_interpetation_groups (interpetation_group_id, answer_id, value) VALUES (21, 336, NULL) RETURNING public.answers_in_interpetation_groups.id
2020-03-26 06:37:48.892 GMT [260] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-26 06:42:18.322 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "questions" нарушает ограничение внешнего ключа "answers_question_id_fkey" таблицы "answers"
2020-03-26 06:42:18.322 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(54) всё ещё есть ссылки в таблице "answers".
2020-03-26 06:42:18.322 GMT [13524] ОПЕРАТОР:  DELETE FROM public.questions
		WHERE id=$1
2020-03-26 06:43:38.750 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey" таблицы "user_answers"
2020-03-26 06:43:38.750 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(8) всё ещё есть ссылки в таблице "user_answers".
2020-03-26 06:43:38.750 GMT [13524] ОПЕРАТОР:  DELETE FROM public.questions
		WHERE id=$1
2020-03-26 06:44:02.561 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "answers" нарушает ограничение внешнего ключа "user_answers_answer_id_fkey" таблицы "user_answers"
2020-03-26 06:44:02.561 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(8) всё ещё есть ссылки в таблице "user_answers".
2020-03-26 06:44:02.561 GMT [13524] ОПЕРАТОР:  DELETE FROM public.questions
		WHERE id=$1
2020-03-26 06:45:51.145 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_in_categories_test_id_fkey" таблицы "tests_in_categories"
2020-03-26 06:45:51.145 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_in_categories".
2020-03-26 06:45:51.145 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:46:02.984 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_in_categories_test_id_fkey" таблицы "tests_in_categories"
2020-03-26 06:46:02.984 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_in_categories".
2020-03-26 06:46:02.984 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:46:14.146 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_in_categories_test_id_fkey" таблицы "tests_in_categories"
2020-03-26 06:46:14.146 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_in_categories".
2020-03-26 06:46:14.146 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:46:24.958 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_in_categories_test_id_fkey" таблицы "tests_in_categories"
2020-03-26 06:46:24.958 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_in_categories".
2020-03-26 06:46:24.958 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:47:36.613 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_for_users_test_id_fkey" таблицы "tests_for_users"
2020-03-26 06:47:36.613 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_for_users".
2020-03-26 06:47:36.613 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:47:45.017 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_for_users_test_id_fkey" таблицы "tests_for_users"
2020-03-26 06:47:45.017 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_for_users".
2020-03-26 06:47:45.017 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:47:50.271 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "tests" нарушает ограничение внешнего ключа "tests_for_users_test_id_fkey" таблицы "tests_for_users"
2020-03-26 06:47:50.271 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(16) всё ещё есть ссылки в таблице "tests_for_users".
2020-03-26 06:47:50.271 GMT [13524] ОПЕРАТОР:  DELETE FROM public.tests
		WHERE id=$1
2020-03-26 06:57:54.471 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "interpretation_groups" нарушает ограничение внешнего ключа "answers_in_interpetation_groups_interpetation_group_id_fkey" таблицы "answers_in_interpetation_groups"
2020-03-26 06:57:54.471 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(2) всё ещё есть ссылки в таблице "answers_in_interpetation_groups".
2020-03-26 06:57:54.471 GMT [13524] ОПЕРАТОР:  DELETE FROM public.interpretation_groups
		WHERE id=$1
2020-03-26 06:58:01.372 GMT [13524] ОШИБКА:  UPDATE или DELETE в таблице "interpretation_groups" нарушает ограничение внешнего ключа "answers_in_interpetation_groups_interpetation_group_id_fkey" таблицы "answers_in_interpetation_groups"
2020-03-26 06:58:01.372 GMT [13524] ПОДРОБНОСТИ:  На ключ (id)=(2) всё ещё есть ссылки в таблице "answers_in_interpetation_groups".
2020-03-26 06:58:01.372 GMT [13524] ОПЕРАТОР:  DELETE FROM public.interpretation_groups
		WHERE id=$1
2020-03-26 07:03:24.331 GMT [7756] ОШИБКА:  ошибка синтаксиса (примерное положение: "ua") (символ 14)
2020-03-26 07:03:24.331 GMT [7756] ОПЕРАТОР:  SELECT *
	    ua.date
	   FROM tests t
	     JOIN questions q ON t.id = q.test_id
	     JOIN answers a ON a.question_id = q.id
	     JOIN answers_in_interpetation_groups aiig ON aiig.answer_id = a.id
	     RIGHT JOIN interpretation_groups ig ON aiig.interpetation_group_id = ig.id
	     JOIN user_answers ua ON ua.answer_id = a.id
	     JOIN users u ON u.id = ua.user_id
	  WHERE t.interpetation_method_id = 1;
	  
	  
2020-03-26 07:03:43.601 GMT [7756] ОШИБКА:  ошибка синтаксиса (примерное положение: "ON") (символ 476)
2020-03-26 07:03:43.601 GMT [7756] ОПЕРАТОР:  SELECT t.id AS test_id,
	    t.value AS test,
	    a.id AS answer_id,
	    a.value AS answer,
	    aiig.value AS answer_value,
