2020-04-12 08:22:15.000 GMT [2172] ���������:  ������ ������� �� ���� ��������; ��������� ������ ������: 2020-04-11 14:47:40 GMT
2020-04-12 10:21:58.208 GMT [10940] ОШИБКА:  неверный синтаксис для типа bigint: "dsfdsf" (символ 83)
2020-04-12 10:21:58.208 GMT [10940] ОПЕРАТОР:  UPDATE public.user_personals SET first_name='sdfsdf', second_name='dsfdsf', phone='dsfdsf' WHERE public.user_personals.user_id = 44
2020-04-12 10:22:19.413 GMT [13580] ОШИБКА:  неверный синтаксис для типа date: "" (символ 60)
2020-04-12 10:22:19.413 GMT [13580] ОПЕРАТОР:  UPDATE public.user_personals SET phone='23214', "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 10:44:09.472 GMT [11720] ОШИБКА:  неверный синтаксис для типа bigint: "(+7) 906-902-41-62" (символ 40)
2020-04-12 10:44:09.472 GMT [11720] ОПЕРАТОР:  UPDATE public.user_personals SET phone='(+7) 906-902-41-62', "birthDay"='0012-12-12' WHERE public.user_personals.user_id = 44
2020-04-12 10:47:08.326 GMT [13580] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:08.326 GMT [11720] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:08.329 GMT [7492] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:08.329 GMT [14172] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:08.329 GMT [5624] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:22.393 GMT [2912] ОШИБКА:  неверный синтаксис для типа bigint: "2 3214232132" (символ 40)
2020-04-12 10:47:22.393 GMT [2912] ОПЕРАТОР:  UPDATE public.user_personals SET phone='2 3214232132', "birthDay"='0012-12-12' WHERE public.user_personals.user_id = 44
2020-04-12 10:47:32.336 GMT [2912] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:47.746 GMT [7404] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:47:47.747 GMT [7404] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 10:48:54.281 GMT [12636] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:49:44.115 GMT [10976] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:49:59.419 GMT [5424] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:50:52.005 GMT [9112] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:50:52.005 GMT [9112] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 10:50:52.005 GMT [11072] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 10:50:52.005 GMT [11072] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 10:52:06.551 GMT [12344] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:08:15.039 GMT [12028] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:12:15.120 GMT [9644] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:13:39.141 GMT [1448] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:21:55.560 GMT [13116] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:22:07.385 GMT [5540] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:22:07.385 GMT [11592] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:22:07.385 GMT [5540] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 11:22:07.385 GMT [11592] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 11:24:59.352 GMT [6268] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:25:27.168 GMT [12364] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 11:57:42.535 GMT [2924] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 11:57:42.535 GMT [2924] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 11:58:06.641 GMT [13924] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 11:58:06.641 GMT [13924] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 11:59:09.826 GMT [14068] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 11:59:09.826 GMT [14068] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 11:59:29.360 GMT [4352] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 11:59:29.360 GMT [4352] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 11:59:53.660 GMT [13048] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 11:59:53.660 GMT [13048] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:00:00.091 GMT [7424] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:00:00.091 GMT [7424] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:00:33.547 GMT [9392] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:00:33.547 GMT [9392] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:00:39.410 GMT [7164] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:00:39.410 GMT [7164] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:00:49.277 GMT [11904] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:00:49.277 GMT [11904] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:00:58.748 GMT [3244] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:00:58.748 GMT [3244] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:01:04.176 GMT [13048] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:01:04.176 GMT [13048] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:01:23.103 GMT [13288] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:01:23.103 GMT [13288] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:01:51.598 GMT [13152] ОШИБКА:  неверный синтаксис для типа date: "" (символ 45)
2020-04-12 12:01:51.598 GMT [13152] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='' WHERE public.user_personals.user_id = 44
2020-04-12 12:04:47.192 GMT [7424] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.192 GMT [3244] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [13152] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [13288] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [13048] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [9392] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [11904] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [7164] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [14068] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [4352] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.193 GMT [13924] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.194 GMT [2924] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:04:47.195 GMT [7848] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:24:34.072 GMT [5856] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 12:24:34.072 GMT [12876] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 13:49:51.377 GMT [15328] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 13:49:51.377 GMT [13472] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:05:57.696 GMT [15868] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:06:47.689 GMT [12236] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:10:18.328 GMT [14200] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:10:18.328 GMT [14200] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 15:10:42.277 GMT [11324] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:10:42.277 GMT [11324] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 15:19:32.808 GMT [13600] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:19:32.808 GMT [9412] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:29:49.398 GMT [13396] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:30:27.161 GMT [5856] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "user_chats_pkey"
2020-04-12 15:30:27.161 GMT [5856] ПОДРОБНОСТИ:  Ключ "(user_id)=(143)" уже существует.
2020-04-12 15:30:27.161 GMT [5856] ОПЕРАТОР:  INSERT INTO public.user_telegrams (user_id, telegram_id) VALUES (143, 1)
2020-04-12 15:36:49.477 GMT [5856] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:43:46.412 GMT [14480] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "user_telegrams_pkey"
2020-04-12 15:43:46.412 GMT [14480] ПОДРОБНОСТИ:  Ключ "(telegram_id)=(1)" уже существует.
2020-04-12 15:43:46.412 GMT [14480] ОПЕРАТОР:  INSERT INTO public.user_telegrams (user_id, telegram_id) VALUES (143, 1)
2020-04-12 15:43:47.051 GMT [9624] ОШИБКА:  повторяющееся значение ключа нарушает ограничение уникальности "user_telegrams_pkey"
2020-04-12 15:43:47.051 GMT [9624] ПОДРОБНОСТИ:  Ключ "(telegram_id)=(1)" уже существует.
2020-04-12 15:43:47.051 GMT [9624] ОПЕРАТОР:  INSERT INTO public.user_telegrams (user_id, telegram_id) VALUES (143, 1)
2020-04-12 15:43:49.707 GMT [9624] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:43:49.707 GMT [14480] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 15:48:43.764 GMT [13128] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:55:58.762 GMT [16044] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [16332] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [16296] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [14340] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [14244] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [6572] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [13568] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [16296] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 16:58:33.645 GMT [2584] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 16:58:33.645 GMT [14244] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 16:58:33.645 GMT [14340] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 16:58:33.645 GMT [6572] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 16:58:33.645 GMT [2584] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 16:58:33.645 GMT [13568] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:13.350 GMT [5468] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:00:13.350 GMT [5468] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:13.350 GMT [832] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:00:13.351 GMT [14752] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:00:13.350 GMT [8800] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:00:13.351 GMT [9616] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:00:13.351 GMT [832] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:13.351 GMT [8800] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:13.351 GMT [9616] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:13.351 GMT [14752] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:29.710 GMT [14832] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:00:29.710 GMT [14832] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 17:00:51.256 GMT [15876] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:22:21.744 GMT [1308] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:22:37.045 GMT [15504] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 17:22:41.931 GMT [8256] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:06:22.431 GMT [3388] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:09:57.169 GMT [7436] ОШИБКА:  неверный синтаксис для типа date: "-undefined-undefined" (символ 45)
2020-04-12 19:09:57.169 GMT [7436] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='-undefined-undefined' WHERE public.user_personals.user_id = 144
2020-04-12 19:10:14.513 GMT [7436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:10:25.090 GMT [8724] ОШИБКА:  неверный синтаксис для типа date: "-undefined-undefined" (символ 45)
2020-04-12 19:10:25.090 GMT [8724] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='-undefined-undefined' WHERE public.user_personals.user_id = 144
2020-04-12 19:10:33.729 GMT [8724] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:10:40.797 GMT [8124] ОШИБКА:  неверный синтаксис для типа date: "-undefined-undefined" (символ 45)
2020-04-12 19:10:40.797 GMT [8124] ОПЕРАТОР:  UPDATE public.user_personals SET "birthDay"='-undefined-undefined' WHERE public.user_personals.user_id = 144
2020-04-12 19:10:54.948 GMT [8124] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:12:40.237 GMT [15880] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:13:07.001 GMT [14748] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:47:14.984 GMT [11496] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:47:14.984 GMT [11496] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 19:47:46.398 GMT [15580] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:47:46.399 GMT [15580] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 19:47:46.399 GMT [1112] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:47:46.399 GMT [1112] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-12 19:52:22.761 GMT [8204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-12 19:52:22.762 GMT [13032] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
