2020-04-10 06:16:49.560 GMT [13468] ���������:  ������ ������� �� ���� ��������; ��������� ������ ������: 2020-04-10 05:49:04 GMT
2020-04-10 07:55:24.146 GMT [13376] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:55:24.146 GMT [14300] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:55:24.146 GMT [7020] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:55:24.146 GMT [13376] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:55:24.146 GMT [14300] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:55:24.146 GMT [6500] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:55:24.147 GMT [7020] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:57:32.253 GMT [7512] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:57:32.253 GMT [14292] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:57:32.253 GMT [1916] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:57:32.253 GMT [7512] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:57:32.253 GMT [14292] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:57:32.253 GMT [1916] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:58:32.088 GMT [13416] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 07:58:32.088 GMT [13416] ПОДРОБНОСТИ:  Ошибочная строка содержит (86, null, null, null).
2020-04-10 07:58:32.088 GMT [13416] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 07:58:32.106 GMT [14260] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 07:58:32.106 GMT [14260] ПОДРОБНОСТИ:  Ошибочная строка содержит (87, null, null, null).
2020-04-10 07:58:32.106 GMT [14260] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 07:58:32.188 GMT [2756] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 07:58:32.188 GMT [2756] ПОДРОБНОСТИ:  Ошибочная строка содержит (88, null, null, null).
2020-04-10 07:58:32.188 GMT [2756] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 07:59:03.293 GMT [2756] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:59:03.293 GMT [13416] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:59:03.293 GMT [14260] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:59:13.438 GMT [3640] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:59:13.438 GMT [13360] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:59:13.438 GMT [12116] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 07:59:13.438 GMT [3640] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:59:13.438 GMT [13360] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:59:13.438 GMT [12116] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 07:59:15.526 GMT [13012] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 07:59:15.526 GMT [13012] ПОДРОБНОСТИ:  Ошибочная строка содержит (89, null, null, null).
2020-04-10 07:59:15.526 GMT [13012] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 07:59:26.707 GMT [13012] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:01:54.399 GMT [7256] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:54.399 GMT [7256] ПОДРОБНОСТИ:  Ошибочная строка содержит (90, null, null, null).
2020-04-10 08:01:54.399 GMT [7256] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:55.338 GMT [3600] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:55.338 GMT [3600] ПОДРОБНОСТИ:  Ошибочная строка содержит (91, null, null, null).
2020-04-10 08:01:55.338 GMT [3600] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:55.348 GMT [13404] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:55.348 GMT [13404] ПОДРОБНОСТИ:  Ошибочная строка содержит (92, null, null, null).
2020-04-10 08:01:55.348 GMT [13404] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:55.404 GMT [12692] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:55.404 GMT [12692] ПОДРОБНОСТИ:  Ошибочная строка содержит (93, null, null, null).
2020-04-10 08:01:55.404 GMT [12692] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.434 GMT [12648] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.434 GMT [12648] ПОДРОБНОСТИ:  Ошибочная строка содержит (94, null, null, null).
2020-04-10 08:01:57.434 GMT [12648] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.485 GMT [372] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.485 GMT [372] ПОДРОБНОСТИ:  Ошибочная строка содержит (95, null, null, null).
2020-04-10 08:01:57.485 GMT [372] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.537 GMT [4424] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.537 GMT [4424] ПОДРОБНОСТИ:  Ошибочная строка содержит (96, null, null, null).
2020-04-10 08:01:57.537 GMT [4424] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.732 GMT [7516] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.732 GMT [7516] ПОДРОБНОСТИ:  Ошибочная строка содержит (97, null, null, null).
2020-04-10 08:01:57.732 GMT [7516] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.817 GMT [12132] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.817 GMT [12132] ПОДРОБНОСТИ:  Ошибочная строка содержит (98, null, null, null).
2020-04-10 08:01:57.817 GMT [12132] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.892 GMT [5380] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.892 GMT [5380] ПОДРОБНОСТИ:  Ошибочная строка содержит (99, null, null, null).
2020-04-10 08:01:57.892 GMT [5380] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:57.929 GMT [1268] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:57.929 GMT [1268] ПОДРОБНОСТИ:  Ошибочная строка содержит (100, null, null, null).
2020-04-10 08:01:57.929 GMT [1268] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:58.006 GMT [7888] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:58.006 GMT [7888] ПОДРОБНОСТИ:  Ошибочная строка содержит (101, null, null, null).
2020-04-10 08:01:58.006 GMT [7888] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:58.043 GMT [6060] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:58.043 GMT [6060] ПОДРОБНОСТИ:  Ошибочная строка содержит (102, null, null, null).
2020-04-10 08:01:58.043 GMT [6060] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:58.124 GMT [9736] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:58.124 GMT [9736] ПОДРОБНОСТИ:  Ошибочная строка содержит (103, null, null, null).
2020-04-10 08:01:58.124 GMT [9736] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:01:58.146 GMT [7964] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:01:58.146 GMT [7964] ПОДРОБНОСТИ:  Ошибочная строка содержит (104, null, null, null).
2020-04-10 08:01:58.146 GMT [7964] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:02:29.050 GMT [3600] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.050 GMT [13404] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.051 GMT [7256] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.051 GMT [12648] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.051 GMT [12692] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.052 GMT [7888] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.052 GMT [1268] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.052 GMT [12132] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.052 GMT [6060] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.052 GMT [5380] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.053 GMT [7964] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.053 GMT [4424] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.053 GMT [9736] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.053 GMT [372] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:29.053 GMT [7516] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:02:35.189 GMT [7432] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:02:35.189 GMT [7432] ПОДРОБНОСТИ:  Ошибочная строка содержит (105, null, null, null).
2020-04-10 08:02:35.189 GMT [7432] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:05.404 GMT [7432] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:04:07.534 GMT [9680] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:07.534 GMT [9680] ПОДРОБНОСТИ:  Ошибочная строка содержит (106, null, null, null).
2020-04-10 08:04:07.534 GMT [9680] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:08.779 GMT [4696] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:08.779 GMT [4696] ПОДРОБНОСТИ:  Ошибочная строка содержит (107, null, null, null).
2020-04-10 08:04:08.779 GMT [4696] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:48.539 GMT [4696] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:04:48.539 GMT [9680] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:04:50.684 GMT [10480] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:50.684 GMT [10480] ПОДРОБНОСТИ:  Ошибочная строка содержит (108, null, null, null).
2020-04-10 08:04:50.684 GMT [10480] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:50.794 GMT [12212] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:50.794 GMT [12212] ПОДРОБНОСТИ:  Ошибочная строка содержит (109, null, null, null).
2020-04-10 08:04:50.794 GMT [12212] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:54.670 GMT [11640] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:54.670 GMT [11640] ПОДРОБНОСТИ:  Ошибочная строка содержит (110, null, null, null).
2020-04-10 08:04:54.670 GMT [11640] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:54.740 GMT [8076] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:54.740 GMT [8076] ПОДРОБНОСТИ:  Ошибочная строка содержит (111, null, null, null).
2020-04-10 08:04:54.740 GMT [8076] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:04:54.767 GMT [12132] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:04:54.767 GMT [12132] ПОДРОБНОСТИ:  Ошибочная строка содержит (112, null, null, null).
2020-04-10 08:04:54.767 GMT [12132] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:05:41.389 GMT [8076] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:05:41.389 GMT [12132] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:05:41.389 GMT [10480] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:05:41.389 GMT [12212] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:05:41.389 GMT [11640] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:05:47.341 GMT [9012] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:05:47.341 GMT [9012] ПОДРОБНОСТИ:  Ошибочная строка содержит (113, null, null, null).
2020-04-10 08:05:47.341 GMT [9012] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:06:16.289 GMT [9012] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:06:18.101 GMT [7228] ОШИБКА:  нулевое значение в столбце "login" нарушает ограничение NOT NULL
2020-04-10 08:06:18.101 GMT [7228] ПОДРОБНОСТИ:  Ошибочная строка содержит (114, null, null, null).
2020-04-10 08:06:18.101 GMT [7228] ОПЕРАТОР:  INSERT INTO public.users (login, password_hash, email) VALUES (NULL, NULL, NULL) RETURNING public.users.id
2020-04-10 08:06:50.397 GMT [7228] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:08:16.219 GMT [5436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:08:16.219 GMT [7964] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:08:16.219 GMT [14104] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:08:16.219 GMT [5436] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:08:16.219 GMT [7964] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:08:16.219 GMT [14104] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:08:16.219 GMT [3660] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:08:16.219 GMT [3660] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:09:28.982 GMT [372] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:11:31.835 GMT [12284] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:12:32.566 GMT [15076] ОШИБКА:  INSERT или UPDATE в таблице "user_personals" нарушает ограничение внешнего ключа "user_personals_user_id_fkey"
2020-04-10 08:12:32.566 GMT [15076] ПОДРОБНОСТИ:  Ключ (user_id)=(2) отсутствует в таблице "users".
2020-04-10 08:12:32.566 GMT [15076] ОПЕРАТОР:  INSERT INTO public.user_personals (user_id,first_name)
		VALUES ($1,$2)
2020-04-10 08:14:20.536 GMT [9660] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:14:55.098 GMT [1156] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:14:55.098 GMT [2572] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:14:55.098 GMT [14892] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:14:55.098 GMT [1156] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:14:55.098 GMT [14892] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:15:07.330 GMT [14940] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:16:04.270 GMT [14040] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:17:05.016 GMT [13864] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:17:05.016 GMT [7292] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:17:05.016 GMT [13864] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:17:05.016 GMT [7292] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-04-10 08:17:10.965 GMT [13204] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:18:02.685 GMT [8168] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:18:20.065 GMT [10688] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:19:29.352 GMT [12636] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 09:18:01.142 GMT [284] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-04-10 09:18:01.142 GMT [15296] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
